Competition_Name,Gender,Country,Season_End_Year,Round,Wk,Day,Date,Time,Home,HomeGoals,Home_xG,Away,AwayGoals,Away_xG,Attendance,Venue,Referee,Notes,MatchURL
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sat,11/16/1991,20:45,China PR cn,4,NA,no Norway,0,NA,65000,Tianhe Stadium (Neutral Site),Salvador Imperatore Marcone,,https://fbref.com/en/matches/0d9e0f26/China-PR-Norway-November-16-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,15:30,Germany de,4,NA,ng Nigeria,0,NA,14000,Jiangmen Stadium (Neutral Site),Rafael Rodriguez,,https://fbref.com/en/matches/e3bbff4b/Germany-Nigeria-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Japan jp,0,NA,br Brazil,1,NA,14000,New Plaza Stadium (Neutral Site),Lu Jun,,https://fbref.com/en/matches/f834bba1/Japan-Brazil-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Chinese Taipei tw,0,NA,it Italy,5,NA,11000,Jiangmen Stadium (Neutral Site),Fathi Boucetta,,https://fbref.com/en/matches/142ef2fd/Chinese-Taipei-Italy-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Denmark dk,3,NA,nz New Zealand,0,NA,14000,Tianhe Stadium (Neutral Site),Omer Yengo,,https://fbref.com/en/matches/1e1ee49d/Denmark-New-Zealand-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Sun,11/17/1991,19:45,Sweden se,2,NA,us USA,3,NA,14000,Ying Dong Stadium (Neutral Site),John Toro Rendón,,https://fbref.com/en/matches/b2f3a10a/Sweden-United-States-November-17-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,15:30,Norway no,4,NA,nz New Zealand,0,NA,12000,Guangdong Provincial People's Stadium (Neutral Site),Salvador Imperatore Marcone,,https://fbref.com/en/matches/d7440a38/Norway-New-Zealand-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,15:30,Italy it,1,NA,ng Nigeria,0,NA,12000,Zhongshan Stadium (Neutral Site),Jim McCluskey,,https://fbref.com/en/matches/50912d1f/Italy-Nigeria-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,19:45,China PR cn,2,NA,dk Denmark,2,NA,27000,Guangdong Provincial People's Stadium (Neutral Site),Vassilios Nikakis,,https://fbref.com/en/matches/0c6e3ea4/China-PR-Denmark-November-19-1991-Womens-World-Cup
FIFA Women's World Cup,F,NA,1991,Group stage,NA,Tue,11/19/1991,19:45,Brazil br,0,NA,us USA,5,NA,15500,Ying Dong Stadium (Neutral Site),Vadim Zhuk,,https://fbref.com/en/matches/846e5846/Brazil-United-States-November-19-1991-Womens-World-Cup
